PT,TM,CPG,CPHL,CPWT,DROGDP,DROGDT,DROHLDP,DROHLDT,DROWTDP,DROWTDT,HG,HHL,HWT,ROG,ROHL,ROWT,RS,RSW,SEG,SEHL,SEWT,SIGGHL,SIGGWT,SIGHLWT,TCG,TCHL,TCWT,VISG,VISHL,VISWT
20100000.0,180.6,2960.48617,2669.54333,4624.03363,5.14571e-06,-0.32887339,2.48921e-06,-0.75647856,5.91146e-07,-1.0215216,257811.703,84112.9097,-1763597.3,111.704795,716.470555,909.480912,0.0,0.011896634,-1130.8586,390.036767,-4832.6154,0.000999641,0.046506924,0.045507284,0.072629416,0.138815687,0.663184507,2.06654e-05,0.000834825,0.000166786
10000.0,186.7,2354.08606,2639.85574,4788.87793,1.99058e-05,-0.00043409,2.43586e-06,-0.69852973,7.08934e-07,-1.2052242,326258.153,89794.1373,-1744658.4,0.198800524,836.995823,889.719626,0.317778208,0.002339949,1363.00763,527.786984,-4742.2888,0.018861967,0.044928549,0.026066582,0.040427015,0.214335029,0.635277097,1.18975e-05,0.002632824,0.000155819
420000.0,186.7,2390.58016,2675.8924,4785.85723,1.00603e-05,-0.00946817,2.94913e-06,-0.79141153,7.07052e-07,-1.2021138,328035.599,80821.3091,-1744484.2,4.17779689,774.897456,890.009902,0.109495273,0.006640135,891.245928,515.671012,-4742.912,0.015236888,0.044928549,0.029691661,0.052584999,0.164476261,0.63578395,1.49361e-05,0.001188485,0.000155943
830000.0,186.7,2432.5104,2679.21643,4782.8525,8.48511e-06,-0.01598831,3.05708e-06,-0.81255125,7.0518e-07,-1.199018,331332.765,80214.9672,-1744309.3,6.94216252,765.382439,890.29941,0.083372299,0.008465201,667.139283,512.663977,-4743.5333,0.013891981,0.044928549,0.031036569,0.054949008,0.157674929,0.636290045,1.55367e-05,0.001084398,0.000156066
1240000.0,186.7,2465.43256,2681.06918,4779.86361,7.72144e-06,-0.02197339,3.11367e-06,-0.82386427,7.03319e-07,-1.1959365,333230.41,80245.44,-1744133.6,9.41939628,759.986641,890.588152,0.07097924,0.009623663,497.153834,510.564449,-4744.1525,0.012801673,0.044928549,0.032126876,0.056073997,0.153914829,0.636795385,1.58359e-05,0.001036915,0.000156188
1650000.0,186.7,2492.53856,2682.47806,4776.89042,7.26533e-06,-0.02778789,3.15019e-06,-0.8313399,7.01468e-07,-1.1928695,334135.929,80499.8697,-1743957.1,11.7757621,756.035587,890.876132,0.063323016,0.01041987,359.568468,508.729238,-4744.7697,0.011831613,0.044928549,0.033096936,0.056741549,0.151247189,0.637299975,1.60268e-05,0.001007304,0.00015631
2060000.0,186.7,2515.83211,2683.69284,4773.9328,6.96152e-06,-0.03356007,3.17655e-06,-0.83687969,6.99626e-07,-1.1898165,334374.141,80860.3553,-1743779.9,14.0700892,752.769541,891.163356,0.057885813,0.010992055,244.224997,506.965024,-4745.3849,0.010942491,0.044928549,0.033986059,0.057205893,0.149131185,0.637803818,1.61687e-05,0.000985743,0.000156431
2470000.0,186.7,2536.5096,2684.80547,4770.99062,6.74456e-06,-0.03934598,3.19696e-06,-0.84128696,6.97795e-07,-1.1867777,334153.567,81279.8292,-1743601.9,16.3287872,749.884299,891.449827,0.053668777,0.011414959,145.154278,505.19734,-4745.9982,0.010118341,0.044928549,0.034810208,0.057571282,0.147351669,0.638306917,1.62854e-05,0.000968545,0.000156552
2880000.0,186.7,2555.31076,2685.85816,4768.06374,6.58184e-06,-0.04517332,3.21353e-06,-0.84496202,6.95974e-07,-1.1837529,333607.891,81735.7897,-1743423.2,18.5656185,747.233143,891.73555,0.050194043,0.011732996,58.4977097,503.393773,-4746.6095,0.009351045,0.044928549,0.035577505,0.057886613,0.145804072,0.638809276,1.63878e-05,0.000954015,0.000156672
3290000.0,186.7,2572.71279,2686.87327,4765.15205,6.45519e-06,-0.05105673,3.22742e-06,-0.84812791,6.94162e-07,-1.1807419,332825.385,82216.1364,-1743243.7,20.7885332,744.736159,892.020527,0.047203373,0.011974366,-18.387353,501.53929,-4747.2189,0.00863559,0.044928549,0.036292959,0.058177066,0.144430248,0.639310899,1.6482e-05,0.000941262,0.000156792
