,Compressor suction pressure (barg)
2021-08-06 18:00:00,2.717680448740702
2021-08-06 18:01:00,2.7087768333916995
2021-08-06 18:02:00,2.66833828788887
2021-08-06 18:03:00,2.6548583239861174
2021-08-06 18:04:00,2.6923395635323533
2021-08-06 18:05:00,2.6849761785421493
2021-08-06 18:06:00,2.6950830156339785
2021-08-06 18:07:00,2.7449262528986322
2021-08-06 18:08:00,2.7059528347094397
2021-08-06 18:09:00,2.648599121585083
2021-08-06 18:10:00,2.629471006633488
2021-08-06 18:11:00,2.693459570032792
2021-08-06 18:12:00,2.6776746361262096
2021-08-06 18:13:00,2.6390290357002377
2021-08-06 18:14:00,2.623498586961306
2021-08-06 18:15:00,2.619181899935132
2021-08-06 18:16:00,2.628846364098383
2021-08-06 18:17:00,2.7209955035207174
2021-08-06 18:18:00,2.706590452768181
2021-08-06 18:19:00,2.670159652020486
2021-08-06 18:20:00,2.7011754783260615
2021-08-06 18:21:00,2.725743703582552
2021-08-06 18:22:00,2.6779194172073337
2021-08-06 18:23:00,2.697308968540588
2021-08-06 18:24:00,2.6822750290479864
2021-08-06 18:25:00,2.6917615841269122
2021-08-06 18:26:00,2.6881589377085597
2021-08-06 18:27:00,2.691538054414777
2021-08-06 18:28:00,2.7058924299517457
2021-08-06 18:29:00,2.755220664122693
2021-08-06 18:30:00,2.7373885431590432
2021-08-06 18:31:00,2.656114209659756
2021-08-06 18:32:00,2.6423780958087915
2021-08-06 18:33:00,2.61205704604485
2021-08-06 18:34:00,2.599398002906038
2021-08-06 18:35:00,2.603240740924666
2021-08-06 18:36:00,2.6116673905010646
2021-08-06 18:37:00,2.650881217887126
2021-08-06 18:38:00,2.7081054824637696
2021-08-06 18:39:00,2.7353990866863924
2021-08-06 18:40:00,2.7109066188769524
2021-08-06 18:41:00,2.6630500891659294
2021-08-06 18:42:00,2.650306390614688
2021-08-06 18:43:00,2.631114842178821
2021-08-06 18:44:00,2.631895030194081
2021-08-06 18:45:00,2.6298514984930903
2021-08-06 18:46:00,2.6336392777643476
2021-08-06 18:47:00,2.633274627022651
2021-08-06 18:48:00,2.606431307403574
2021-08-06 18:49:00,2.619343505530557
2021-08-06 18:50:00,2.5935504954739246
2021-08-06 18:51:00,2.68985265776345
2021-08-06 18:52:00,2.6833314306296177
2021-08-06 18:53:00,2.6930983874620815
2021-08-06 18:54:00,2.6732028381235846
2021-08-06 18:55:00,2.6323127553932877
2021-08-06 18:56:00,2.6428695598384127
2021-08-06 18:57:00,2.6526994376631707
2021-08-06 18:58:00,2.663151603548033
2021-08-06 18:59:00,2.6783537168737643
2021-08-06 19:00:00,2.7736344171652094
2021-08-06 19:01:00,2.7286492813394556
2021-08-06 19:02:00,2.705502951779599
2021-08-06 19:03:00,2.733634792487933
2021-08-06 19:04:00,2.7329031917858653
2021-08-06 19:05:00,2.718208446913332
2021-08-06 19:06:00,2.701540144836805
2021-08-06 19:07:00,2.6911899236030528
2021-08-06 19:08:00,2.633552173517545
2021-08-06 19:09:00,2.6278774598187504
2021-08-06 19:10:00,2.648621971585292
2021-08-06 19:11:00,2.6390696430889893
2021-08-06 19:12:00,2.6731922850931995
2021-08-06 19:13:00,2.7166516639622746
2021-08-06 19:14:00,2.694543692238887
2021-08-06 19:15:00,2.6927777164716353
2021-08-06 19:16:00,2.692355324618474
2021-08-06 19:17:00,2.7158797489933577
2021-08-06 19:18:00,2.72041868669313
2021-08-06 19:19:00,2.712444860521187
2021-08-06 19:20:00,2.6495399354445826
2021-08-06 19:21:00,2.672974435955863
2021-08-06 19:22:00,2.638960911945697
2021-08-06 19:23:00,2.622382090426213
2021-08-06 19:24:00,2.7431322296240253
2021-08-06 19:25:00,2.6863580453180997
2021-08-06 19:26:00,2.6498885725892665
2021-08-06 19:27:00,2.671907803667188
2021-08-06 19:28:00,2.6658088680237637
2021-08-06 19:29:00,2.678844588051726
2021-08-06 19:30:00,2.688268085341897
2021-08-06 19:31:00,2.6762002648568117
2021-08-06 19:32:00,2.738436426685976
2021-08-06 19:33:00,2.7025768476269736
2021-08-06 19:34:00,2.6604179349776413
2021-08-06 19:35:00,2.659887655066045
2021-08-06 19:36:00,2.6474615557643117
2021-08-06 19:37:00,2.6312022264775603
2021-08-06 19:38:00,2.696463514155286
2021-08-06 19:39:00,2.7011559166136783
2021-08-06 19:40:00,2.7235087364797974
2021-08-06 19:41:00,2.6955496629328737
2021-08-06 19:42:00,2.6806445079628394
2021-08-06 19:43:00,2.614822783323764
2021-08-06 19:44:00,2.595944967158622
2021-08-06 19:45:00,2.6427232840969705
2021-08-06 19:46:00,2.668257189321602
2021-08-06 19:47:00,2.694316215424765
2021-08-06 19:48:00,2.7125064002270394
2021-08-06 19:49:00,2.6930292593450376
2021-08-06 19:50:00,2.694047673881401
2021-08-06 19:51:00,2.7071998877879553
2021-08-06 19:52:00,2.762378434402657
2021-08-06 19:53:00,2.734460869186492
2021-08-06 19:54:00,2.715109687872063
2021-08-06 19:55:00,2.7143190229249416
2021-08-06 19:56:00,2.6991757820480284
2021-08-06 19:57:00,2.6780625413936354
2021-08-06 19:58:00,2.66185489009328
2021-08-06 19:59:00,2.6624267895074136
2021-08-06 20:00:00,2.6444005664729113
2021-08-06 20:01:00,2.6406917746701315
2021-08-06 20:02:00,2.6666291501776063
2021-08-06 20:03:00,2.7139536301170866
2021-08-06 20:04:00,2.7012331942648835
2021-08-06 20:05:00,2.7188846718662383
2021-08-06 20:06:00,2.7644571305069188
2021-08-06 20:07:00,2.7337509368074855
2021-08-06 20:08:00,2.719785211866795
